"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","19","79.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/02/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/03/2015","AQS","180970072","1","1.2","ppm","14","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/04/2015","AQS","180970072","1","1.2","ppm","14","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/05/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/06/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/07/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/08/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/09/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/10/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
