"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/02/2015","AQS","180970057","1","2.6","ppb","3","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/03/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/04/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/05/2015","AQS","180970057","1","1.5","ppb","1","Indpls- Harding St.","21","88.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/06/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/07/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/08/2015","AQS","180970057","1","28.4","ppb","40","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/09/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/10/2015","AQS","180970057","1","16.2","ppb","23","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/11/2015","AQS","180970057","1","16.6","ppb","23","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/12/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/13/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/14/2015","AQS","180970057","1","6.2","ppb","9","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/15/2015","AQS","180970057","1","3.5","ppb","4","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/16/2015","AQS","180970057","1","0.5","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"01/17/2015","AQS","180970057","1","2.1","ppb","3","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
