"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","180970078","2","25.5","ppb","24","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/02/2017","AQS","180970078","2","14.6","ppb","13","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/03/2017","AQS","180970078","2","16.8","ppb","15","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/04/2017","AQS","180970078","2","9.5","ppb","8","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/05/2017","AQS","180970078","2","15.9","ppb","14","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/06/2017","AQS","180970078","2","15.7","ppb","14","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/07/2017","AQS","180970078","2","15.1","ppb","14","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/08/2017","AQS","180970078","2","16.7","ppb","15","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/09/2017","AQS","180970078","2","20.2","ppb","19","Indpls- Washington Park/  in parking lot next to police station","22","92.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/10/2017","AQS","180970078","2","11","ppb","10","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/11/2017","AQS","180970078","2","19.6","ppb","18","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/12/2017","AQS","180970078","2","9.4","ppb","8","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/13/2017","AQS","180970078","2","13.1","ppb","12","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/14/2017","AQS","180970078","2","13","ppb","12","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/15/2017","AQS","180970078","2","17.7","ppb","16","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/16/2017","AQS","180970078","2","15.5","ppb","14","Indpls- Washington Park/  in parking lot next to police station","22","92.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/17/2017","AQS","180970078","2","9.5","ppb","8","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/18/2017","AQS","180970078","2","12.8","ppb","11","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/19/2017","AQS","180970078","2","21.5","ppb","20","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
