"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","180970043","1","16.4","ug/m3 LC","60","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/04/2017","AQS","180970043","1","6.9","ug/m3 LC","29","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/07/2017","AQS","180970043","1","12","ug/m3 LC","50","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/10/2017","AQS","180970043","1","8.4","ug/m3 LC","35","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/13/2017","AQS","180970043","1","14.8","ug/m3 LC","57","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/16/2017","AQS","180970043","1","19.5","ug/m3 LC","67","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/19/2017","AQS","180970043","1","12","ug/m3 LC","50","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/22/2017","AQS","180970043","1","9.9","ug/m3 LC","41","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/25/2017","AQS","180970043","1","9.2","ug/m3 LC","38","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/28/2017","AQS","180970043","1","16.9","ug/m3 LC","61","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/31/2017","AQS","180970043","1","7.4","ug/m3 LC","31","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/03/2017","AQS","180970043","1","6.5","ug/m3 LC","27","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/06/2017","AQS","180970043","1","22.3","ug/m3 LC","72","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/09/2017","AQS","180970043","1","6.8","ug/m3 LC","28","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/12/2017","AQS","180970043","1","10","ug/m3 LC","42","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/15/2017","AQS","180970043","1","3","ug/m3 LC","13","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/18/2017","AQS","180970043","1","11.5","ug/m3 LC","48","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/21/2017","AQS","180970043","1","15","ug/m3 LC","57","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/24/2017","AQS","180970043","1","7.9","ug/m3 LC","33","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/27/2017","AQS","180970043","1","8","ug/m3 LC","33","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/02/2017","AQS","180970043","1","7.2","ug/m3 LC","30","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/05/2017","AQS","180970043","1","7.8","ug/m3 LC","33","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/08/2017","AQS","180970043","1","6.8","ug/m3 LC","28","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/11/2017","AQS","180970043","1","3.8","ug/m3 LC","16","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/14/2017","AQS","180970043","1","6.2","ug/m3 LC","26","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/17/2017","AQS","180970043","1","16.7","ug/m3 LC","61","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/20/2017","AQS","180970043","1","11","ug/m3 LC","46","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/23/2017","AQS","180970043","1","7.4","ug/m3 LC","31","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/26/2017","AQS","180970043","1","6","ug/m3 LC","25","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/29/2017","AQS","180970043","1","6.1","ug/m3 LC","25","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"04/01/2017","AQS","180970043","1","3.9","ug/m3 LC","16","Indpls- West St.","2","200.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
