"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018","AQS","180970043","1","21","ug/m3 SC","19","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/08/2018","AQS","180970043","1","16","ug/m3 SC","15","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/14/2018","AQS","180970043","1","17","ug/m3 SC","16","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/20/2018","AQS","180970043","1","12","ug/m3 SC","11","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/26/2018","AQS","180970043","1","23","ug/m3 SC","21","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/07/2018","AQS","180970043","1","22","ug/m3 SC","20","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/13/2018","AQS","180970043","1","42","ug/m3 SC","39","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/19/2018","AQS","180970043","1","34","ug/m3 SC","31","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/25/2018","AQS","180970043","1","12","ug/m3 SC","11","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/03/2018","AQS","180970043","1","11","ug/m3 SC","10","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/09/2018","AQS","180970043","1","29","ug/m3 SC","27","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/15/2018","AQS","180970043","1","30","ug/m3 SC","28","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/21/2018","AQS","180970043","1","12","ug/m3 SC","11","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/27/2018","AQS","180970043","1","8","ug/m3 SC","7","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"04/02/2018","AQS","180970043","1","14","ug/m3 SC","13","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"04/08/2018","AQS","180970043","1","10","ug/m3 SC","9","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"04/14/2018","AQS","180970043","1","12","ug/m3 SC","11","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
