"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AirNow","180970050","1","0.019","ppm","18","Indpls.- Ft. Harrison","20","83.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/02/2019","AQS","180970050","1","0.016","ppm","15","Indpls.- Ft. Harrison","15","88.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/03/2019","AQS","180970050","1","0.017","ppm","16","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/04/2019","AQS","180970050","1","0.028","ppm","26","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/05/2019","AQS","180970050","1","0.018","ppm","17","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/06/2019","AQS","180970050","1","0.019","ppm","18","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/07/2019","AQS","180970050","1","0.022","ppm","20","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/08/2019","AQS","180970050","1","0.027","ppm","25","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/09/2019","AQS","180970050","1","0.02","ppm","19","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/10/2019","AQS","180970050","1","0.027","ppm","25","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/11/2019","AQS","180970050","1","0.023","ppm","21","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/12/2019","AQS","180970050","1","0.022","ppm","20","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/13/2019","AQS","180970050","1","0.03","ppm","28","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/14/2019","AQS","180970050","1","0.029","ppm","27","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/15/2019","AQS","180970050","1","0.023","ppm","21","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/16/2019","AQS","180970050","1","0.018","ppm","17","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/17/2019","AQS","180970050","1","0.015","ppm","14","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
